stop_id,stop_name,latitude,longitude
595702075,Stop_595702075,13.0573428,80.194058
595702076,Stop_595702076,13.0576459,80.1945516
595704144,Stop_595704144,13.0598825,80.1953348
595706156,Stop_595706156,13.0498765,80.2148572
595714972,Stop_595714972,13.0525853,80.1921188
595735860,Stop_595735860,13.0473925,80.197845
597593840,Stop_597593840,13.0419272,80.1781903
604693344,Stop_604693344,13.0515688,80.2773605
611743120,Stop_611743120,13.1030788,80.2527847
614009832,Stop_614009832,12.9233012,80.1550118
618609725,Stop_618609725,13.0977818,80.239926
674698187,Stop_674698187,13.1023633,80.2717659
674698252,Stop_674698252,13.1023304,80.2713764
674698261,Stop_674698261,13.1088417,80.2819651
675752169,Stop_675752169,13.1089416,80.2423446
675754680,Stop_675754680,13.1075776,80.2441079
687175415,Stop_687175415,13.0685084,80.2039344
691189595,Stop_691189595,13.0242582,80.1786556
694064191,Stop_694064191,12.9205917,80.184473
729821770,Stop_729821770,13.0463818,80.2394822
812316994,Stop_812316994,12.8801203,80.0803767
842831419,Stop_842831419,12.8801424,80.0803071
864565804,Stop_864565804,12.9257678,80.118579
864565808,Stop_864565808,12.9257493,80.1193278
864565817,Stop_864565817,12.925671,80.118681
864565818,Stop_864565818,12.9258497,80.1192445
864565821,Stop_864565821,12.9256959,80.1194553
919522123,Stop_919522123,13.0832295,80.2829442
919522213,Stop_919522213,13.0834778,80.2826722
934859082,Stop_934859082,13.0442357,80.1851648
941583422,Stop_941583422,13.0743151,80.2205217
959609084,Stop_959609084,13.0531886,80.2479182
964604284,Stop_964604284,12.9022643,80.2161796
964604586,Stop_964604586,12.9485883,80.198932
966544114,Stop_966544114,13.0812054,80.2730145
966556116,Stop_966556116,13.0750408,80.2714362
978213017,Stop_978213017,13.16683,80.2459642
978588586,Stop_978588586,12.9404138,80.2056611
978589169,Stop_978589169,12.9290185,80.2025986
996517630,Stop_996517630,13.0463902,80.1902132
1001424410,Stop_1001424410,13.067506,80.2534748
1001424417,Stop_1001424417,13.0644904,80.2589582
1001424418,Stop_1001424418,13.0643704,80.2588711
1007625832,Stop_1007625832,13.0488793,80.211988
1007625852,Stop_1007625852,13.007729,80.2098628
1008034321,Stop_1008034321,12.9951306,80.1992885
1008034345,Stop_1008034345,12.9947038,80.1994765
1015556637,Stop_1015556637,13.0210492,80.1839234
1015562222,Stop_1015562222,13.0208127,80.1838081
1015569839,Stop_1015569839,13.0317215,80.1799082
1015570222,Stop_1015570222,13.0314288,80.1839637
1015570839,Stop_1015570839,13.0289829,80.1836954
1015572322,Stop_1015572322,13.0312474,80.1817554
1015575361,Stop_1015575361,13.0393621,80.1969563
1015575816,Stop_1015575816,13.0414839,80.1967337
1015576952,Stop_1015576952,13.0388666,80.1992208
1015577154,Stop_1015577154,13.041139,80.199263
1015578911,Stop_1015578911,13.0417139,80.1932226
1015580858,Stop_1015580858,13.0381601,80.1926862
1015581126,Stop_1015581126,13.0373344,80.1964198
1015583032,Stop_1015583032,13.0364268,80.2017334
1015583945,Stop_1015583945,13.0407523,80.2050136
1015584175,Stop_1015584175,13.0411599,80.2053891
1024558013,Stop_1024558013,13.0316543,80.2122049
1024560151,Stop_1024560151,13.032555,80.2119909
1024562407,Stop_1024562407,13.0350618,80.2119045
1024570438,Stop_1024570438,13.0351977,80.2082567
1024673452,Stop_1024673452,13.0229376,80.1467353
1024674757,Stop_1024674757,13.0198426,80.1433427
1067520553,Stop_1067520553,13.0272893,80.254263
1069492323,Stop_1069492323,13.0867314,80.2757841
1109183357,Stop_1109183357,13.1210128,80.1998698
1141163691,Stop_1141163691,12.9671675,80.2195576
1149067214,Stop_1149067214,13.0145999,80.1743748
1165551007,Stop_1165551007,13.0776718,80.225143
1183430572,Stop_1183430572,12.9966477,80.2490952
1183430650,Stop_1183430650,12.9981822,80.2489226
1183430763,Stop_1183430763,12.9893849,80.2508691
1183430887,Stop_1183430887,12.9911334,80.2506682
